Step,Loss
0,0.130941
10,0.128982
20,0.127185
30,0.125328
40,0.123364
50,0.121617
60,0.120005
70,0.118407
80,0.116720
90,0.114811
100,0.113235
110,0.111628
120,0.109998
130,0.108490
140,0.106859
150,0.105065
160,0.103265
170,0.101435
180,0.099950
190,0.098548
200,0.096994
210,0.095246
220,0.093633
230,0.092287
240,0.091073
250,0.089785
260,0.088319
270,0.087182
280,0.085966
290,0.084711
300,0.083586
310,0.082335
320,0.081181
330,0.079830
340,0.078653
350,0.077378
360,0.076424
370,0.075341
380,0.074206
390,0.073177
400,0.072135
410,0.071396
420,0.070464
430,0.069518
440,0.068474
450,0.067460
460,0.066347
470,0.065326
480,0.064385
490,0.063640
500,0.062825
510,0.061902
520,0.061174
530,0.060502
540,0.059853
550,0.059206
560,0.058551
570,0.057954
580,0.057468
590,0.056915
600,0.056313
610,0.055837
620,0.055372
630,0.054983
640,0.054612
650,0.054138
660,0.053776
670,0.053401
680,0.052904
690,0.052541
700,0.052251
710,0.051909
720,0.051563
730,0.051142
740,0.050701
750,0.050346
760,0.049958
770,0.049601
780,0.049298
790,0.049029
800,0.048752
810,0.048262
820,0.047881
830,0.047346
840,0.046880
850,0.046316
860,0.045814
870,0.045294
880,0.044846
890,0.044477
900,0.043994
910,0.043601
920,0.043219
930,0.042868
940,0.042492
950,0.042150
960,0.041737
970,0.041277
980,0.040858
990,0.040485
1000,0.040185
1010,0.039810
1020,0.039394
1030,0.038992
1040,0.038598
1050,0.038250
1060,0.037940
1070,0.037646
1080,0.037252
1090,0.036994
1100,0.036694
1110,0.036369
1120,0.036002
1130,0.035682
1140,0.035393
1150,0.035068
1160,0.034661
1170,0.034394
1180,0.034027
1190,0.033796
1200,0.033503
1210,0.033134
1220,0.032697
1230,0.032312
1240,0.031984
1250,0.031673
1260,0.031215
1270,0.030860
1280,0.030508
1290,0.030197
1300,0.029783
1310,0.029416
1320,0.029013
1330,0.028614
1340,0.028318
1350,0.027949
1360,0.027639
1370,0.027320
1380,0.027039
1390,0.026766
1400,0.026485
1410,0.026059
1420,0.025733
1430,0.025346
1440,0.025049
1450,0.024763
1460,0.024488
1470,0.024246
1480,0.023941
1490,0.023688
1500,0.023425
1510,0.023128
1520,0.022861
1530,0.022677
1540,0.022337
1550,0.022148
1560,0.021927
1570,0.021652
1580,0.021382
1590,0.021121
1600,0.020828
1610,0.020639
1620,0.020290
1630,0.020064
1640,0.019745
1650,0.019527
1660,0.019234
1670,0.019062
1680,0.018843
1690,0.018599
1700,0.018351
1710,0.018168
1720,0.017974
1730,0.017784
1740,0.017529
1750,0.017358
1760,0.017165
1770,0.016921
1780,0.016693
1790,0.016491
1800,0.016308
1810,0.016111
1820,0.015924
1830,0.015771
1840,0.015566
1850,0.015350
1860,0.015179
1870,0.015002
1880,0.014847
1890,0.014679
1900,0.014494
1910,0.014345
1920,0.014096
1930,0.013958
1940,0.013740
1950,0.013563
1960,0.013385
1970,0.013217
1980,0.013062
1990,0.012884
2000,0.012786
2010,0.012656
2020,0.012484
2030,0.012347
2040,0.012218
2050,0.012090
2060,0.011990
2070,0.011899
2080,0.011759
2090,0.011608
2100,0.011527
2110,0.011441
2120,0.011365
2130,0.011289
2140,0.011206
2150,0.011140
2160,0.011064
2170,0.011016
2180,0.010944
2190,0.010855
2200,0.010781
2210,0.010688
2220,0.010569
2230,0.010430
2240,0.010277
2250,0.010192
2260,0.010078
2270,0.009972
2280,0.009881
2290,0.009781
2300,0.009715
2310,0.009604
2320,0.009449
2330,0.009355
2340,0.009256
2350,0.009170
2360,0.009094
2370,0.008998
2380,0.008898
2390,0.008824
2400,0.008737
2410,0.008648
2420,0.008539
2430,0.008428
2440,0.008362
2450,0.008304
2460,0.008214
2470,0.008149
2480,0.008068
2490,0.007924
2500,0.007823
2510,0.007748
2520,0.007659
2530,0.007580
2540,0.007470
2550,0.007398
2560,0.007288
2570,0.007231
2580,0.007170
2590,0.007082
2600,0.007014
2610,0.006935
2620,0.006825
2630,0.006711
2640,0.006649
2650,0.006604
2660,0.006533
2670,0.006461
2680,0.006397
2690,0.006335
2700,0.006252
2710,0.006180
2720,0.006132
2730,0.006058
2740,0.005993
2750,0.005940
2760,0.005867
2770,0.005844
2780,0.005788
2790,0.005751
2800,0.005723
2810,0.005676
2820,0.005622
2830,0.005573
2840,0.005519
2850,0.005472
2860,0.005438
2870,0.005403
2880,0.005363
2890,0.005315
2900,0.005269
2910,0.005204
2920,0.005162
2930,0.005121
2940,0.005061
2950,0.005017
2960,0.004990
2970,0.004918
2980,0.004872
2990,0.004846
